iso,country,topic,topic_label,count,total_speeches,share
AFG,Afganistan,13,13_afghanistan_tajikistan_kyrgyzstan_afghan,3,3,1.0
AFG,Afghanistan,0,0_sustainable_climate_change_climate change,3,48,0.0625
AFG,Afghanistan,7,7_war_great_soviet_israel,1,48,0.020833333333333332
AFG,Afghanistan,8,8_independence_operation_africa_special,1,48,0.020833333333333332
AFG,Afghanistan,12,12_viet_viet nam_nam_struggle,1,48,0.020833333333333332
AFG,Afghanistan,13,13_afghanistan_tajikistan_kyrgyzstan_afghan,32,48,0.6666666666666666
AFG,Afghanistan,19,19_indonesia_china_disarmament_israel,1,48,0.020833333333333332
AFG,Afghanistan,20,20_zimbabwe_kampuchea_south_africa,1,48,0.020833333333333332
AFG,Afghanistan,21,21_netherlands_european_rights_human,1,48,0.020833333333333332
AFG,Afghanistan,22,22_environment_organisation_democracy_rights,1,48,0.020833333333333332
AFG,Afghanistan,25,25_operation_south_africa_disarmament,1,48,0.020833333333333332
AFG,Afghanistan,44,44_boutros_process_human_rights,1,48,0.020833333333333332
AFG,Afghanistan,51,51_mexico_mexican_nuclear_latin,1,48,0.020833333333333332
AFG,Afghanistan,63,63_venezuela_venezuelan_latin_america,1,48,0.020833333333333332
AFG,Afghanistan,64,64_kuwait_operation_south_organisation,1,48,0.020833333333333332
AFG,Afghanistan,81,81_operation_environment_south_namibia,1,48,0.020833333333333332
AFG,Islamic Republic of Afghanistan,13,13_afghanistan_tajikistan_kyrgyzstan_afghan,1,1,1.0
AGO,Angola,0,0_sustainable_climate_change_climate change,4,16,0.25
AGO,Angola,2,2_africa_african_south_south africa,1,16,0.0625
AGO,Angola,14,14_south_brunei_darussalam_africa,1,16,0.0625
AGO,Angola,15,15_bangladesh_south_africa_operation,2,16,0.125
AGO,Angola,16,16_reform_malaysia_human_rights,1,16,0.0625
AGO,Angola,20,20_zimbabwe_kampuchea_south_africa,1,16,0.0625
AGO,Angola,24,24_mediation_challenges_peaceful_al nasser,1,16,0.0625
AGO,Angola,25,25_operation_south_africa_disarmament,2,16,0.125
AGO,Angola,31,31_century_east timor_timor_human,1,16,0.0625
AGO,Angola,40,40_millennium_globalization_millennium summit_summit,1,16,0.0625
AGO,Angola,52,52_korea_republic korea_korean_korean peninsula,1,16,0.0625
AGO,Angola ,1,1_pandemic_covid_covid 19_19,1,1,1.0
AGO,Republic of Angola,0,0_sustainable_climate_change_climate change,1,2,0.5
AGO,Republic of Angola,1,1_pandemic_covid_covid 19_19,1,2,0.5
ALB,Albania,3,3_soviet_soviet union_union_war,2,62,0.03225806451612903
ALB,Albania,7,7_war_great_soviet_israel,1,62,0.016129032258064516
ALB,Albania,12,12_viet_viet nam_nam_struggle,3,62,0.04838709677419355
ALB,Albania,17,17_malawi_zambia_africa_african,1,62,0.016129032258064516
ALB,Albania,22,22_environment_organisation_democracy_rights,1,62,0.016129032258064516
ALB,Albania,25,25_operation_south_africa_disarmament,1,62,0.016129032258064516
ALB,Albania,26,26_israel_kampuchea_situation_south,1,62,0.016129032258064516
ALB,Albania,41,41_albania_albanian_republic albania_imperialist,52,62,0.8387096774193549
ALB,Albania ,41,41_albania_albanian_republic albania_imperialist,1,1,1.0
ALB,Republic of Albania,1,1_pandemic_covid_covid 19_19,1,1,1.0
AND,Andorra,0,0_sustainable_climate_change_climate change,3,7,0.42857142857142855
AND,Andorra,1,1_pandemic_covid_covid 19_19,1,7,0.14285714285714285
AND,Andorra,6,6_terrorism_11 september_2001_terrorist,2,7,0.2857142857142857
AND,Andorra,55,55_france_french_europe_war,1,7,0.14285714285714285
AND,Andorra ,1,1_pandemic_covid_covid 19_19,1,1,1.0
AND,Principality of Andorra,1,1_pandemic_covid_covid 19_19,1,1,1.0
ARE,UAE,6,6_terrorism_11 september_2001_terrorist,1,7,0.14285714285714285
ARE,UAE,14,14_south_brunei_darussalam_africa,1,7,0.14285714285714285
ARE,UAE,20,20_zimbabwe_kampuchea_south_africa,1,7,0.14285714285714285
ARE,UAE,25,25_operation_south_africa_disarmament,1,7,0.14285714285714285
ARE,UAE,31,31_century_east timor_timor_human,1,7,0.14285714285714285
ARE,UAE,40,40_millennium_globalization_millennium summit_summit,1,7,0.14285714285714285
ARE,UAE,64,64_kuwait_operation_south_organisation,1,7,0.14285714285714285
ARE,United Arab Emirates,2,2_africa_african_south_south africa,2,12,0.16666666666666666
ARE,United Arab Emirates,6,6_terrorism_11 september_2001_terrorist,1,12,0.08333333333333333
ARE,United Arab Emirates,8,8_independence_operation_africa_special,1,12,0.08333333333333333
ARE,United Arab Emirates,9,9_israel_palestinian_israeli_arab,4,12,0.3333333333333333
ARE,United Arab Emirates,15,15_bangladesh_south_africa_operation,1,12,0.08333333333333333
ARE,United Arab Emirates,27,27_seychelles_africa_conference_operation,1,12,0.08333333333333333
ARE,United Arab Emirates,38,38_developing_south_africa_palestinian,1,12,0.08333333333333333
ARE,United Arab Emirates,57,57_gabon_africa_gabonese_african,1,12,0.08333333333333333
ARE,United Arab Emirates ,1,1_pandemic_covid_covid 19_19,1,1,1.0
ARG,Argentina,0,0_sustainable_climate_change_climate change,3,56,0.05357142857142857
ARG,Argentina,2,2_africa_african_south_south africa,1,56,0.017857142857142856
ARG,Argentina,3,3_soviet_soviet union_union_war,2,56,0.03571428571428571
ARG,Argentina,4,4_caribbean_bahamas_tobago_trinidad tobago,1,56,0.017857142857142856
ARG,Argentina,6,6_terrorism_11 september_2001_terrorist,1,56,0.017857142857142856
ARG,Argentina,7,7_war_great_soviet_israel,2,56,0.03571428571428571
ARG,Argentina,8,8_independence_operation_africa_special,1,56,0.017857142857142856
ARG,Argentina,9,9_israel_palestinian_israeli_arab,1,56,0.017857142857142856
ARG,Argentina,14,14_south_brunei_darussalam_africa,1,56,0.017857142857142856
ARG,Argentina,15,15_bangladesh_south_africa_operation,1,56,0.017857142857142856
ARG,Argentina,19,19_indonesia_china_disarmament_israel,1,56,0.017857142857142856
ARG,Argentina,25,25_operation_south_africa_disarmament,2,56,0.03571428571428571
ARG,Argentina,32,32_honduras_salvador_el salvador_central,1,56,0.017857142857142856
ARG,Argentina,44,44_boutros_process_human_rights,1,56,0.017857142857142856
ARG,Argentina,49,49_pakistan_india_kashmir_nuclear,1,56,0.017857142857142856
ARG,Argentina,64,64_kuwait_operation_south_organisation,1,56,0.017857142857142856
ARG,Argentina,71,71_operation_rights_latin_cyprus,1,56,0.017857142857142856
ARG,Argentina,73,73_argentina_argentine_argentine republic_malvinas,32,56,0.5714285714285714
ARG,Argentina,88,88_india_korea_great_soviet,1,56,0.017857142857142856
ARG,Argentina,89,89_korea_soviet_aggression_soviet union,1,56,0.017857142857142856
ARG,Argentina ,1,1_pandemic_covid_covid 19_19,1,3,0.3333333333333333
ARG,Argentina ,27,27_seychelles_africa_conference_operation,1,3,0.3333333333333333
ARG,Argentina ,73,73_argentina_argentine_argentine republic_malvinas,1,3,0.3333333333333333
ARG,Argentine Republic,1,1_pandemic_covid_covid 19_19,1,2,0.5
ARG,Argentine Republic,73,73_argentina_argentine_argentine republic_malvinas,1,2,0.5
ARM,Armenia,0,0_sustainable_climate_change_climate change,1,23,0.043478260869565216
ARM,Armenia,3,3_soviet_soviet union_union_war,1,23,0.043478260869565216
ARM,Armenia,6,6_terrorism_11 september_2001_terrorist,2,23,0.08695652173913043
ARM,Armenia,24,24_mediation_challenges_peaceful_al nasser,2,23,0.08695652173913043
ARM,Armenia,31,31_century_east timor_timor_human,1,23,0.043478260869565216
ARM,Armenia,33,33_lebanon_lebanese_israel_arab,1,23,0.043478260869565216
ARM,Armenia,83,83_azerbaijan_armenia_karabakh_azerbaijani,15,23,0.6521739130434783
ARM,Armenia ,83,83_azerbaijan_armenia_karabakh_azerbaijani,3,3,1.0
ARM,Republic of Armenia,1,1_pandemic_covid_covid 19_19,1,2,0.5
