topic,topic_label,count
0,0_sustainable_climate_change_climate change,545
1,1_pandemic_covid_covid 19_19,276
2,2_africa_african_south_south africa,247
3,3_soviet_soviet union_union_war,228
4,4_caribbean_bahamas_tobago_trinidad tobago,225
5,5_islands_pacific_solomon_solomon islands,222
6,6_terrorism_11 september_2001_terrorist,198
7,7_war_great_soviet_israel,192
8,8_independence_operation_africa_special,169
9,9_israel_palestinian_israeli_arab,156
10,10_ukraine_russia_moldova_ukrainian,142
11,11_portugal_process_fiftieth_human,122
12,12_viet_viet nam_nam_struggle,118
13,13_afghanistan_tajikistan_kyrgyzstan_afghan,115
14,14_south_brunei_darussalam_africa,115
15,15_bangladesh_south_africa_operation,107
16,16_reform_malaysia_human_rights,99
17,17_malawi_zambia_africa_african,97
19,19_indonesia_china_disarmament_israel,92
18,18_guatemala_american_central_guatemalan,91
20,20_zimbabwe_kampuchea_south_africa,89
21,21_netherlands_european_rights_human,84
22,22_environment_organisation_democracy_rights,84
23,23_libya_libyan_tunisia_arab,79
24,24_mediation_challenges_peaceful_al nasser,76
25,25_operation_south_africa_disarmament,75
26,26_israel_kampuchea_situation_south,72
27,27_seychelles_africa_conference_operation,72
28,28_thailand_cambodia_viet_thai,68
29,29_bosnia_bosnia herzegovina_herzegovina_serbia,67
30,30_finland_denmark_iceland_rights,67
31,31_century_east timor_timor_human,66
32,32_honduras_salvador_el salvador_central,66
33,33_lebanon_lebanese_israel_arab,64
34,34_yemen_arab_yemeni_yemen arab,62
35,35_liberia_liberian_africa_african,62
36,36_haiti_haitian_republic haiti_republic,60
37,37_romania_romanian_disarmament_relations,59
38,38_developing_south_africa_palestinian,57
39,39_barbados_caribbean_antigua_barbuda,57
40,40_millennium_globalization_millennium summit_summit,56
41,41_albania_albanian_republic albania_imperialist,53
42,42_nepal_bhutan_majesty_developed,53
43,43_canada_canadian_canadians_human,53
44,44_boutros_process_human_rights,53
45,45_malaysia_great_nuclear_powers,52
51,51_mexico_mexican_nuclear_latin,51
50,50_sudan_south sudan_south_sudanese,51
48,48_colombia_drug_colombian_drugs,51
46,46_fortieth_south_africa_operation,51
47,47_brazil_brazilian_latin_america,51
49,49_pakistan_india_kashmir_nuclear,50
52,52_korea_republic korea_korean_korean peninsula,50
53,53_panama_canal_panamanian_panama canal,49
54,54_iraq_terrorism_baghdad_vieira mello,49
55,55_france_french_europe_war,49
56,56_ecuador_human_latin_american,49
57,57_gabon_africa_gabonese_african,49
58,58_italy_italian_europe_european,48
59,59_chile_chilean_latin_american,47
63,63_venezuela_venezuelan_latin_america,46
65,65_uruguay_human_law_rights,46
64,64_kuwait_operation_south_organisation,46
62,62_zealand_pacific_nuclear_south pacific,46
61,61_dominican_dominican republic_republic_american,46
60,60_poland_polish_europe_war,46
66,66_burundi_republic burundi_national_republic,45
67,67_myanmar_burma_nuclear_national,45
68,68_sri_lanka_sri lanka_bantu,44
69,69_hungary_hungarian_hungarian republic_republic,43
70,70_peru_peruvian_latin_democracy,42
71,71_operation_rights_latin_cyprus,42
72,72_paraguay_republic paraguay_paraguayan_republic,41
75,75_bolivia_bolivian_latin_america,40
76,76_iraq_iraqi_iranian_iran,40
73,73_argentina_argentine_argentine republic_malvinas,40
74,74_costa_costa rica_rica_human,40
77,77_vanuatu_palau_pacific_climate,39
78,78_malta_mediterranean_european_libya,38
79,79_kuwait_iraq_arab_israel,38
80,80_papua guinea_papua_guinea_pacific,38
81,81_operation_environment_south_namibia,37
82,82_suriname_republic suriname_caribbean_developing,37
83,83_azerbaijan_armenia_karabakh_azerbaijani,37
85,85_philippines_philippine_filipino_asia,36
86,86_syria_syrian_2015_terrorism,36
84,84_japan_nuclear_japanese_assistance,36
87,87_belize_caribbean_guatemala_belizean,35
88,88_india_korea_great_soviet,34
89,89_korea_soviet_aggression_soviet union,33
90,90_cuba_cuban_latin_revolutionary,33
91,91_nicaragua_nicaraguan_central_america,33
92,92_san marino_marino_san_children,32
93,93_bulgaria_bulgarian_european_europe,31
94,94_australia_australian_pacific_nuclear,31
95,95_slovakia_czech_czech republic_slovak,31
96,96_tanzania_africa_south_south africa,31
