year,topic,topic_label,count,total_speeches,share
1946,3,3_soviet_soviet union_union_war,2,31,0.06451612903225806
1946,7,7_war_great_soviet_israel,9,31,0.2903225806451613
1946,21,21_netherlands_european_rights_human,2,31,0.06451612903225806
1946,33,33_lebanon_lebanese_israel_arab,1,31,0.03225806451612903
1946,35,35_liberia_liberian_africa_african,1,31,0.03225806451612903
1946,36,36_haiti_haitian_republic haiti_republic,1,31,0.03225806451612903
1946,43,43_canada_canadian_canadians_human,1,31,0.03225806451612903
1946,47,47_brazil_brazilian_latin_america,1,31,0.03225806451612903
1946,48,48_colombia_drug_colombian_drugs,1,31,0.03225806451612903
1946,51,51_mexico_mexican_nuclear_latin,1,31,0.03225806451612903
1946,59,59_chile_chilean_latin_american,1,31,0.03225806451612903
1946,60,60_poland_polish_europe_war,1,31,0.03225806451612903
1946,62,62_zealand_pacific_nuclear_south pacific,1,31,0.03225806451612903
1946,65,65_uruguay_human_law_rights,1,31,0.03225806451612903
1946,70,70_peru_peruvian_latin_democracy,1,31,0.03225806451612903
1946,73,73_argentina_argentine_argentine republic_malvinas,1,31,0.03225806451612903
1946,75,75_bolivia_bolivian_latin_america,1,31,0.03225806451612903
1946,85,85_philippines_philippine_filipino_asia,1,31,0.03225806451612903
1946,88,88_india_korea_great_soviet,1,31,0.03225806451612903
1946,90,90_cuba_cuban_latin_revolutionary,1,31,0.03225806451612903
1946,94,94_australia_australian_pacific_nuclear,1,31,0.03225806451612903
1947,3,3_soviet_soviet union_union_war,2,28,0.07142857142857142
1947,7,7_war_great_soviet_israel,8,28,0.2857142857142857
1947,9,9_israel_palestinian_israeli_arab,2,28,0.07142857142857142
1947,21,21_netherlands_european_rights_human,1,28,0.03571428571428571
1947,28,28_thailand_cambodia_viet_thai,1,28,0.03571428571428571
1947,33,33_lebanon_lebanese_israel_arab,1,28,0.03571428571428571
1947,35,35_liberia_liberian_africa_african,1,28,0.03571428571428571
1947,43,43_canada_canadian_canadians_human,1,28,0.03571428571428571
1947,55,55_france_french_europe_war,1,28,0.03571428571428571
1947,56,56_ecuador_human_latin_american,1,28,0.03571428571428571
1947,59,59_chile_chilean_latin_american,1,28,0.03571428571428571
1947,60,60_poland_polish_europe_war,1,28,0.03571428571428571
1947,61,61_dominican_dominican republic_republic_american,1,28,0.03571428571428571
1947,70,70_peru_peruvian_latin_democracy,1,28,0.03571428571428571
1947,73,73_argentina_argentine_argentine republic_malvinas,1,28,0.03571428571428571
1947,76,76_iraq_iraqi_iranian_iran,1,28,0.03571428571428571
1947,85,85_philippines_philippine_filipino_asia,1,28,0.03571428571428571
1947,88,88_india_korea_great_soviet,1,28,0.03571428571428571
1947,90,90_cuba_cuban_latin_revolutionary,1,28,0.03571428571428571
